Frame,Object_ID,Center_X,Center_Y
0,car,455.91351318359375,238.41547
0,droide,646.4517822265625,147.69827
0,person,1241.751220703125,372.70532
0,person,782.47119140625,126.28903
0,person,727.620361328125,177.66028
0,person,974.1140747070312,210.61325
0,person,781.7575073242188,130.63617
0,person,973.1673583984375,208.59174
0,person,969.873046875,211.53226
1,car,450.8837890625,235.13803
1,droide,647.0758666992188,147.16605
1,person,1244.249267578125,373.38684
1,person,782.507568359375,131.04797
1,person,727.185302734375,178.37825
1,person,971.49267578125,213.64255
1,person,781.87451171875,135.0587
1,person,973.2373046875,211.13297
2,car,445.80987548828125,226.50339
2,droide,645.6845703125,146.68555
2,person,1247.313720703125,373.43927
2,person,727.06591796875,176.97565
2,person,970.6827392578125,214.8505
2,person,783.239013671875,122.6178
2,person,782.7515258789062,126.07231
2,person,888.228759765625,210.66052
3,car,443.6422119140625,220.18997
3,droide,645.336181640625,146.83191
3,person,1248.633544921875,375.22943
3,person,726.2916259765625,176.668
3,person,968.4306640625,212.63278
3,person,783.1900024414062,126.06915
3,person,889.8668212890625,203.09308
3,person,783.5819091796875,122.212265
4,car,439.26043701171875,212.9574
4,droide,644.8505249023438,146.94592
4,person,1254.516845703125,379.08942
4,person,964.8394775390625,214.29987
4,person,724.9297485351562,176.83147
4,person,783.985107421875,130.40001
4,person,785.167724609375,125.26962
4,person,890.2838134765625,208.332
5,car,437.09539794921875,208.24472
5,droide,644.0543212890625,146.63965
5,person,1254.95361328125,378.7395
5,person,961.8698120117188,213.59131
5,person,788.1844482421875,127.049255
5,person,723.8222045898438,176.5877
5,person,785.070556640625,129.74585
5,person,890.1122436523438,205.8168
5,person,722.830322265625,176.6062
6,car,434.35821533203125,202.1661
6,droide,643.7850952148438,147.38728
6,person,1257.362548828125,375.00488
6,person,790.167236328125,127.566986
6,person,959.418212890625,212.57431
6,person,722.0878295898438,173.94954
6,person,720.2996826171875,174.581
6,person,786.396728515625,129.46027
7,car,431.33062744140625,197.30603
7,droide,643.764892578125,147.2413
7,person,1259.07568359375,403.63385
7,person,957.7864990234375,211.57062
7,person,791.4317626953125,130.98589
7,person,722.2440185546875,174.90868
7,person,720.084228515625,177.09421
7,person,1258.498291015625,401.80273
7,person,891.91015625,209.28404
8,car,430.0174255371094,191.65627
8,droide,643.8377075195312,146.00012
8,person,1262.1513671875,401.9162
8,person,792.5772705078125,135.21489
8,person,955.5365600585938,211.32956
8,person,719.437744140625,172.60703
8,person,723.1729736328125,172.49133
8,person,718.8062744140625,173.93185
9,car,427.8372497558594,186.64575
9,droide,643.331298828125,145.98758
9,person,1263.821044921875,399.24298
9,person,793.0994873046875,135.47498
9,person,953.657958984375,211.94943
9,person,719.5419311523438,170.56808
9,person,722.0472412109375,172.43933
10,car,425.09002685546875,180.56519
10,droide,642.5709838867188,145.45554
10,person,951.9234619140625,211.62614
10,person,1267.210205078125,400.0817
10,person,720.003173828125,171.89746
10,person,721.4193725585938,171.62234
10,person,885.637939453125,209.31528
11,car,422.71759033203125,177.71484
11,droide,642.53076171875,145.52196
11,person,951.3407592773438,212.73825
11,person,1267.488525390625,401.7766
11,person,720.0673828125,172.29028
11,person,721.5703735351562,172.40833
11,person,954.3948974609375,216.31992
11,person,884.918212890625,211.73141
12,car,418.97760009765625,172.6012
12,droide,642.2283935546875,144.32764
12,person,950.345947265625,210.68604
12,person,1266.2548828125,399.18707
12,person,719.47802734375,171.55873
12,person,719.4517822265625,172.80244
13,car,417.7648010253906,170.25694
13,droide,642.0309448242188,143.24237
13,person,949.154052734375,209.82275
13,person,719.510009765625,172.94052
13,person,1268.91650390625,401.3609
13,person,719.3494873046875,171.99573
13,person,952.7811279296875,210.65741
14,car,415.96563720703125,164.3505
14,droide,641.955810546875,141.61726
14,person,718.700439453125,172.18188
14,person,718.399169921875,171.73083
14,person,1273.449951171875,397.8825
14,person,946.1805419921875,209.4686
14,person,722.5546875,171.36786
15,car,415.0700378417969,161.83037
15,droide,641.74072265625,141.64587
15,person,718.6275634765625,173.14804
15,person,718.155029296875,172.69955
15,person,945.885498046875,211.25244
15,person,900.83251953125,210.78049
16,car,413.8638000488281,157.11882
16,droide,640.8721313476562,142.06586
16,person,718.2225341796875,170.75296
16,person,717.8076171875,171.25952
16,person,945.8629760742188,211.64502
17,car,412.63433837890625,154.50304
17,droide,640.489990234375,142.38097
17,person,717.6700439453125,170.74142
